IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
54.213.215.13,8443,443,TRUE,SEA,North America,Seattle,187,10.21
207.60.50.24,8443,443,TRUE,LAX,North America,Los Angeles,169,9.6
3.76.210.181,8443,443,TRUE,FRA,Europe,Frankfurt,205,8.63
18.171.236.219,8443,443,TRUE,LHR,Europe,London,228,8.15
18.192.113.68,8443,443,TRUE,FRA,Europe,Frankfurt,216,8
3.69.233.212,8443,443,TRUE,FRA,Europe,Frankfurt,199,7.76
18.196.92.175,8443,443,TRUE,FRA,Europe,Frankfurt,211,7.69
141.11.86.240,8443,443,TRUE,TPE,Asia Pacific,Taipei,201,7.34
18.196.75.17,8443,443,TRUE,FRA,Europe,Frankfurt,200,7.12
104.210.3.231,8443,443,TRUE,IAD,North America,Ashburn,248,6.58
13.201.37.77,8443,443,TRUE,BOM,Asia Pacific,Mumbai,213,6.43
13.49.224.45,8443,443,TRUE,AMS,Europe,Amsterdam,248,6.29
35.246.168.59,8443,443,TRUE,FRA,Europe,Frankfurt,261,5.35
172.177.248.69,8443,443,TRUE,IAD,North America,Ashburn,254,5.04
15.156.203.151,8443,443,TRUE,DFW,North America,Dallas,237,4.87
40.123.41.147,8443,443,TRUE,IAD,North America,Ashburn,260,3.58
13.201.27.214,8443,443,TRUE,BOM,Asia Pacific,Mumbai,237,3.49
13.48.89.219,8443,443,TRUE,ARN,Europe,Stockholm,232,3.43
141.147.85.167,8443,443,TRUE,LHR,Europe,London,257,3.39
54.74.164.212,8443,443,TRUE,DUB,Europe,Dublin,253,3.04
47.251.54.234,8443,443,TRUE,SJC,North America,San Jose,163,3.02
96.0.24.249,8443,443,TRUE,CPH,Europe,Copenhagen,206,2.47
154.17.229.59,8443,443,TRUE,LAX,North America,Los Angeles,172,2.42
18.185.239.85,8443,443,TRUE,FRA,Europe,Frankfurt,222,2.39
54.73.12.226,8443,443,TRUE,DUB,Europe,Dublin,235,1.84
3.250.120.169,8443,443,TRUE,DUB,Europe,Dublin,241,1.47
40.123.47.225,8443,443,TRUE,IAD,North America,Ashburn,255,1.16
18.192.152.35,8443,443,TRUE,FRA,Europe,Frankfurt,214,1.14
141.148.242.113,8443,443,TRUE,AMS,Europe,Amsterdam,280,1.02
3.66.67.78,8443,443,TRUE,FRA,Europe,Frankfurt,209,0.92
18.175.224.91,8443,443,TRUE,LHR,Europe,London,227,0.82
16.63.233.188,8443,443,TRUE,MXP,Europe,Milan,207,0.72
194.105.81.118,8443,443,TRUE,LHR,Europe,London,263,0.46
54.171.66.64,8443,443,TRUE,DUB,Europe,Dublin,250,0.44
35.181.169.229,8443,443,TRUE,CDG,Europe,Paris,223,0.4
107.174.186.62,8443,443,TRUE,SJC,North America,San Jose,166,0.4
13.239.113.62,8443,443,TRUE,SYD,Oceania,Sydney,231,0.37
47.245.142.16,8443,443,TRUE,FRA,Europe,Frankfurt,381,0.36
8.211.2.2,8443,443,TRUE,FRA,Europe,Frankfurt,373,0.27
3.66.84.148,8443,443,TRUE,FRA,Europe,Frankfurt,203,0.22
16.24.96.56,8443,443,TRUE,FRA,Europe,Frankfurt,309,0.2
54.247.231.19,8443,443,TRUE,DUB,Europe,Dublin,243,0.19
18.153.49.248,8443,443,TRUE,FRA,Europe,Frankfurt,209,0.19
3.127.89.62,8443,443,TRUE,FRA,Europe,Frankfurt,235,0.18
16.170.220.15,8443,443,TRUE,ARN,Europe,Stockholm,240,0.17
132.145.54.84,8443,443,TRUE,LHR,Europe,London,263,0.15
23.94.208.167,8443,443,TRUE,SJC,North America,San Jose,181,0.14
3.144.80.78,8443,443,TRUE,CMH,North America,Columbus,221,0.12
130.162.226.138,8443,443,TRUE,FRA,Europe,Frankfurt,272,0.12
4.161.44.235,8443,443,TRUE,BOM,Asia Pacific,Mumbai,145,0.11
18.194.183.74,8443,443,TRUE,FRA,Europe,Frankfurt,219,0.09
130.61.107.238,8443,443,TRUE,FRA,Europe,Frankfurt,271,0.07
20.151.90.208,8443,443,TRUE,YYZ,North America,Toronto,253,0.07
3.8.141.213,8443,443,TRUE,LHR,Europe,London,221,0.07
158.178.206.197,8443,443,TRUE,CDG,Europe,Paris,270,0.06
16.16.114.102,8443,443,TRUE,ARN,Europe,Stockholm,244,0.06
23.94.211.237,8443,443,TRUE,SEA,North America,Seattle,199,0.04
3.74.9.115,8443,443,TRUE,FRA,Europe,Frankfurt,226,0.03
144.24.169.81,8443,443,TRUE,FRA,Europe,Frankfurt,252,0.03
152.70.155.147,8880,8880,FALSE,LAX,North America,Los Angeles,192,5.26
3.66.27.83,8880,443,TRUE,FRA,Europe,Frankfurt,218,4.37
52.28.142.187,8880,443,TRUE,FRA,Europe,Frankfurt,210,0.35
,,,,,,,,
